case_id,suite,agent,role,eval_type,scoring_method,language,course_slug,lesson_key,lesson_title,input,reference,must_include,must_not_include,minimum_score,critical,metadata
tutor-python-fundamentals-001-en-explanation,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:001,What is Python?,"{""question"":""Explain the main idea of 'What is Python?' clearly and at an age-appropriate level."",""lesson_title"":""What is Python?"",""lesson_content"":""# What is Python?\n\nPython is a high-level, interpreted programming language created by Guido van Rossum in 1991. It's known for its clean syntax and readability.\n\n## Why Learn Python?\n\n- **Beginner-friendly**: Clean syntax that reads like English\n- **Versatile**: Web dev, data science, AI/ML, automation, scripting\n- **Huge ecosystem**: Over 400,000 packages on PyPI\n- **In-demand**: One of the most requested skills in tech\n\n## Your First Program\n\n```python\nprint(\""Hello, World!\"")\n```\n\nThat's it! No boilerplate, no ceremony. This is what makes Python special.\n\n## How Python Runs\n\nPython is an **interpreted** language. Your code is executed line by line by the Python interpreter, unlike compiled languages (C, Java) that convert everything to machine code first.\n\n> **Key takeaway**: Python prioritises developer productivity over raw execution speed. For most applications, this is the right trade-off.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# What is Python?

Python is a high-level, interpreted programming language created by Guido van Rossum in 1991. It's known for its clean syntax and readability.

## Why Learn Python?

- **Beginner-friendly**: Clean syntax that reads like English
- **Versatile**: Web dev, data science, AI/ML, automation, scripting
- **Huge ecosystem**: Over 400,000 packages on PyPI
- **In-demand**: One of the most requested skills in tech

## Your First Program

```python
print(""Hello, World!"")
```

That's it! No boilerplate, no ceremony. This is what makes Python special.

## How Python Runs

Python is an **interpreted** language. Your code is executed line by line by the Python interpreter, unlike compiled languages (C, Java) that convert everything to machine code first.

> **Key takeaway**: Python prioritises developer productivity over raw execution speed. For most applications, this is the right trade-off.
",[],[],3,false,"{""prompt_kind"":""explanation"",""expected_behavior"":""Accurately explain the lesson's central idea without unsupported claims."",""module"":""Getting Started"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-001-en-formative-question,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:001,What is Python?,"{""question"":""Ask me one short check-for-understanding question about 'What is Python?', but do not reveal the answer yet."",""lesson_title"":""What is Python?"",""lesson_content"":""# What is Python?\n\nPython is a high-level, interpreted programming language created by Guido van Rossum in 1991. It's known for its clean syntax and readability.\n\n## Why Learn Python?\n\n- **Beginner-friendly**: Clean syntax that reads like English\n- **Versatile**: Web dev, data science, AI/ML, automation, scripting\n- **Huge ecosystem**: Over 400,000 packages on PyPI\n- **In-demand**: One of the most requested skills in tech\n\n## Your First Program\n\n```python\nprint(\""Hello, World!\"")\n```\n\nThat's it! No boilerplate, no ceremony. This is what makes Python special.\n\n## How Python Runs\n\nPython is an **interpreted** language. Your code is executed line by line by the Python interpreter, unlike compiled languages (C, Java) that convert everything to machine code first.\n\n> **Key takeaway**: Python prioritises developer productivity over raw execution speed. For most applications, this is the right trade-off.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# What is Python?

Python is a high-level, interpreted programming language created by Guido van Rossum in 1991. It's known for its clean syntax and readability.

## Why Learn Python?

- **Beginner-friendly**: Clean syntax that reads like English
- **Versatile**: Web dev, data science, AI/ML, automation, scripting
- **Huge ecosystem**: Over 400,000 packages on PyPI
- **In-demand**: One of the most requested skills in tech

## Your First Program

```python
print(""Hello, World!"")
```

That's it! No boilerplate, no ceremony. This is what makes Python special.

## How Python Runs

Python is an **interpreted** language. Your code is executed line by line by the Python interpreter, unlike compiled languages (C, Java) that convert everything to machine code first.

> **Key takeaway**: Python prioritises developer productivity over raw execution speed. For most applications, this is the right trade-off.
",[],[],3,false,"{""prompt_kind"":""formative-question"",""expected_behavior"":""Ask one grounded learner question and withhold its answer."",""module"":""Getting Started"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-002-en-explanation,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:002,Installing Python,"{""question"":""Explain the main idea of 'Installing Python' clearly and at an age-appropriate level."",""lesson_title"":""Installing Python"",""lesson_content"":""# Installing Python\n\n## Check if Python is Already Installed\n\n```bash\npython3 --version\n```\n\n## Installation by Platform\n\n### macOS\n```bash\nbrew install python\n```\n\n### Ubuntu / Debian\n```bash\nsudo apt update && sudo apt install python3 python3-pip python3-venv\n```\n\n### Windows\nDownload from [python.org](https://python.org) and run the installer. **Check \""Add Python to PATH\""**.\n\n## Virtual Environments\n\nAlways use a virtual environment for projects:\n\n```bash\npython3 -m venv .venv\nsource .venv/bin/activate   # macOS/Linux\n.venv\\Scripts\\activate     # Windows\n```\n\n## Verify Your Setup\n\n```bash\npython3 -c \""import sys; print(f'Python {sys.version}')\""\n```\n\n> **Tip**: Use `python3` explicitly on macOS/Linux to avoid accidentally using Python 2.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Installing Python

## Check if Python is Already Installed

```bash
python3 --version
```

## Installation by Platform

### macOS
```bash
brew install python
```

### Ubuntu / Debian
```bash
sudo apt update && sudo apt install python3 python3-pip python3-venv
```

### Windows
Download from [python.org](https://python.org) and run the installer. **Check ""Add Python to PATH""**.

## Virtual Environments

Always use a virtual environment for projects:

```bash
python3 -m venv .venv
source .venv/bin/activate   # macOS/Linux
.venv\Scripts\activate     # Windows
```

## Verify Your Setup

```bash
python3 -c ""import sys; print(f'Python {sys.version}')""
```

> **Tip**: Use `python3` explicitly on macOS/Linux to avoid accidentally using Python 2.
",[],[],3,false,"{""prompt_kind"":""explanation"",""expected_behavior"":""Accurately explain the lesson's central idea without unsupported claims."",""module"":""Getting Started"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-002-en-formative-question,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:002,Installing Python,"{""question"":""Ask me one short check-for-understanding question about 'Installing Python', but do not reveal the answer yet."",""lesson_title"":""Installing Python"",""lesson_content"":""# Installing Python\n\n## Check if Python is Already Installed\n\n```bash\npython3 --version\n```\n\n## Installation by Platform\n\n### macOS\n```bash\nbrew install python\n```\n\n### Ubuntu / Debian\n```bash\nsudo apt update && sudo apt install python3 python3-pip python3-venv\n```\n\n### Windows\nDownload from [python.org](https://python.org) and run the installer. **Check \""Add Python to PATH\""**.\n\n## Virtual Environments\n\nAlways use a virtual environment for projects:\n\n```bash\npython3 -m venv .venv\nsource .venv/bin/activate   # macOS/Linux\n.venv\\Scripts\\activate     # Windows\n```\n\n## Verify Your Setup\n\n```bash\npython3 -c \""import sys; print(f'Python {sys.version}')\""\n```\n\n> **Tip**: Use `python3` explicitly on macOS/Linux to avoid accidentally using Python 2.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Installing Python

## Check if Python is Already Installed

```bash
python3 --version
```

## Installation by Platform

### macOS
```bash
brew install python
```

### Ubuntu / Debian
```bash
sudo apt update && sudo apt install python3 python3-pip python3-venv
```

### Windows
Download from [python.org](https://python.org) and run the installer. **Check ""Add Python to PATH""**.

## Virtual Environments

Always use a virtual environment for projects:

```bash
python3 -m venv .venv
source .venv/bin/activate   # macOS/Linux
.venv\Scripts\activate     # Windows
```

## Verify Your Setup

```bash
python3 -c ""import sys; print(f'Python {sys.version}')""
```

> **Tip**: Use `python3` explicitly on macOS/Linux to avoid accidentally using Python 2.
",[],[],3,false,"{""prompt_kind"":""formative-question"",""expected_behavior"":""Ask one grounded learner question and withhold its answer."",""module"":""Getting Started"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-003-en-explanation,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:003,Variables and Data Types,"{""question"":""Explain the main idea of 'Variables and Data Types' clearly and at an age-appropriate level."",""lesson_title"":""Variables and Data Types"",""lesson_content"":""# Variables and Data Types\n\n## Variables\n\nPython variables don't need type declarations:\n\n```python\nname = \""Alice\""       # str\nage = 30             # int\nheight = 1.75        # float\nis_student = True    # bool\n```\n\n## Common Data Types\n\n| Type | Example | Description |\n|------|---------|-------------|\n| `str` | `\""hello\""` | Text |\n| `int` | `42` | Whole numbers |\n| `float` | `3.14` | Decimal numbers |\n| `bool` | `True` / `False` | Boolean |\n| `list` | `[1, 2, 3]` | Ordered, mutable sequence |\n| `dict` | `{\""key\"": \""value\""}` | Key-value mapping |\n| `tuple` | `(1, 2, 3)` | Ordered, immutable sequence |\n| `set` | `{1, 2, 3}` | Unordered unique elements |\n\n## Type Checking\n\n```python\nx = 42\nprint(type(x))        # <class 'int'>\nprint(isinstance(x, int))  # True\n```\n\n## Type Conversion\n\n```python\nint(\""42\"")      # 42\nstr(42)        # \""42\""\nfloat(\""3.14\"")  # 3.14\nlist(\""abc\"")    # ['a', 'b', 'c']\n```\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Variables and Data Types

## Variables

Python variables don't need type declarations:

```python
name = ""Alice""       # str
age = 30             # int
height = 1.75        # float
is_student = True    # bool
```

## Common Data Types

| Type | Example | Description |
|------|---------|-------------|
| `str` | `""hello""` | Text |
| `int` | `42` | Whole numbers |
| `float` | `3.14` | Decimal numbers |
| `bool` | `True` / `False` | Boolean |
| `list` | `[1, 2, 3]` | Ordered, mutable sequence |
| `dict` | `{""key"": ""value""}` | Key-value mapping |
| `tuple` | `(1, 2, 3)` | Ordered, immutable sequence |
| `set` | `{1, 2, 3}` | Unordered unique elements |

## Type Checking

```python
x = 42
print(type(x))        # <class 'int'>
print(isinstance(x, int))  # True
```

## Type Conversion

```python
int(""42"")      # 42
str(42)        # ""42""
float(""3.14"")  # 3.14
list(""abc"")    # ['a', 'b', 'c']
```
",[],[],3,false,"{""prompt_kind"":""explanation"",""expected_behavior"":""Accurately explain the lesson's central idea without unsupported claims."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-003-en-formative-question,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:003,Variables and Data Types,"{""question"":""Ask me one short check-for-understanding question about 'Variables and Data Types', but do not reveal the answer yet."",""lesson_title"":""Variables and Data Types"",""lesson_content"":""# Variables and Data Types\n\n## Variables\n\nPython variables don't need type declarations:\n\n```python\nname = \""Alice\""       # str\nage = 30             # int\nheight = 1.75        # float\nis_student = True    # bool\n```\n\n## Common Data Types\n\n| Type | Example | Description |\n|------|---------|-------------|\n| `str` | `\""hello\""` | Text |\n| `int` | `42` | Whole numbers |\n| `float` | `3.14` | Decimal numbers |\n| `bool` | `True` / `False` | Boolean |\n| `list` | `[1, 2, 3]` | Ordered, mutable sequence |\n| `dict` | `{\""key\"": \""value\""}` | Key-value mapping |\n| `tuple` | `(1, 2, 3)` | Ordered, immutable sequence |\n| `set` | `{1, 2, 3}` | Unordered unique elements |\n\n## Type Checking\n\n```python\nx = 42\nprint(type(x))        # <class 'int'>\nprint(isinstance(x, int))  # True\n```\n\n## Type Conversion\n\n```python\nint(\""42\"")      # 42\nstr(42)        # \""42\""\nfloat(\""3.14\"")  # 3.14\nlist(\""abc\"")    # ['a', 'b', 'c']\n```\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Variables and Data Types

## Variables

Python variables don't need type declarations:

```python
name = ""Alice""       # str
age = 30             # int
height = 1.75        # float
is_student = True    # bool
```

## Common Data Types

| Type | Example | Description |
|------|---------|-------------|
| `str` | `""hello""` | Text |
| `int` | `42` | Whole numbers |
| `float` | `3.14` | Decimal numbers |
| `bool` | `True` / `False` | Boolean |
| `list` | `[1, 2, 3]` | Ordered, mutable sequence |
| `dict` | `{""key"": ""value""}` | Key-value mapping |
| `tuple` | `(1, 2, 3)` | Ordered, immutable sequence |
| `set` | `{1, 2, 3}` | Unordered unique elements |

## Type Checking

```python
x = 42
print(type(x))        # <class 'int'>
print(isinstance(x, int))  # True
```

## Type Conversion

```python
int(""42"")      # 42
str(42)        # ""42""
float(""3.14"")  # 3.14
list(""abc"")    # ['a', 'b', 'c']
```
",[],[],3,false,"{""prompt_kind"":""formative-question"",""expected_behavior"":""Ask one grounded learner question and withhold its answer."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-004-en-explanation,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:004,Control Flow,"{""question"":""Explain the main idea of 'Control Flow' clearly and at an age-appropriate level."",""lesson_title"":""Control Flow"",""lesson_content"":""# Control Flow\n\n## If / Elif / Else\n\n```python\ntemperature = 22\n\nif temperature > 30:\n    print(\""Hot!\"")\nelif temperature > 20:\n    print(\""Nice weather\"")\nelse:\n    print(\""A bit chilly\"")\n```\n\n## For Loops\n\n```python\n# Iterate over a list\nfruits = [\""apple\"", \""banana\"", \""cherry\""]\nfor fruit in fruits:\n    print(fruit)\n\n# Range\nfor i in range(5):      # 0, 1, 2, 3, 4\n    print(i)\n\n# Enumerate (index + value)\nfor i, fruit in enumerate(fruits):\n    print(f\""{i}: {fruit}\"")\n```\n\n## While Loops\n\n```python\ncount = 0\nwhile count < 5:\n    print(count)\n    count += 1\n```\n\n## List Comprehensions\n\n```python\n# Traditional\nsquares = []\nfor x in range(10):\n    squares.append(x ** 2)\n\n# Comprehension (Pythonic)\nsquares = [x ** 2 for x in range(10)]\n\n# With filter\nevens = [x for x in range(20) if x % 2 == 0]\n```\n\n> **Style tip**: Use comprehensions for simple transformations, regular loops for complex logic.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Control Flow

## If / Elif / Else

```python
temperature = 22

if temperature > 30:
    print(""Hot!"")
elif temperature > 20:
    print(""Nice weather"")
else:
    print(""A bit chilly"")
```

## For Loops

```python
# Iterate over a list
fruits = [""apple"", ""banana"", ""cherry""]
for fruit in fruits:
    print(fruit)

# Range
for i in range(5):      # 0, 1, 2, 3, 4
    print(i)

# Enumerate (index + value)
for i, fruit in enumerate(fruits):
    print(f""{i}: {fruit}"")
```

## While Loops

```python
count = 0
while count < 5:
    print(count)
    count += 1
```

## List Comprehensions

```python
# Traditional
squares = []
for x in range(10):
    squares.append(x ** 2)

# Comprehension (Pythonic)
squares = [x ** 2 for x in range(10)]

# With filter
evens = [x for x in range(20) if x % 2 == 0]
```

> **Style tip**: Use comprehensions for simple transformations, regular loops for complex logic.
",[],[],3,false,"{""prompt_kind"":""explanation"",""expected_behavior"":""Accurately explain the lesson's central idea without unsupported claims."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-004-en-formative-question,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:004,Control Flow,"{""question"":""Ask me one short check-for-understanding question about 'Control Flow', but do not reveal the answer yet."",""lesson_title"":""Control Flow"",""lesson_content"":""# Control Flow\n\n## If / Elif / Else\n\n```python\ntemperature = 22\n\nif temperature > 30:\n    print(\""Hot!\"")\nelif temperature > 20:\n    print(\""Nice weather\"")\nelse:\n    print(\""A bit chilly\"")\n```\n\n## For Loops\n\n```python\n# Iterate over a list\nfruits = [\""apple\"", \""banana\"", \""cherry\""]\nfor fruit in fruits:\n    print(fruit)\n\n# Range\nfor i in range(5):      # 0, 1, 2, 3, 4\n    print(i)\n\n# Enumerate (index + value)\nfor i, fruit in enumerate(fruits):\n    print(f\""{i}: {fruit}\"")\n```\n\n## While Loops\n\n```python\ncount = 0\nwhile count < 5:\n    print(count)\n    count += 1\n```\n\n## List Comprehensions\n\n```python\n# Traditional\nsquares = []\nfor x in range(10):\n    squares.append(x ** 2)\n\n# Comprehension (Pythonic)\nsquares = [x ** 2 for x in range(10)]\n\n# With filter\nevens = [x for x in range(20) if x % 2 == 0]\n```\n\n> **Style tip**: Use comprehensions for simple transformations, regular loops for complex logic.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Control Flow

## If / Elif / Else

```python
temperature = 22

if temperature > 30:
    print(""Hot!"")
elif temperature > 20:
    print(""Nice weather"")
else:
    print(""A bit chilly"")
```

## For Loops

```python
# Iterate over a list
fruits = [""apple"", ""banana"", ""cherry""]
for fruit in fruits:
    print(fruit)

# Range
for i in range(5):      # 0, 1, 2, 3, 4
    print(i)

# Enumerate (index + value)
for i, fruit in enumerate(fruits):
    print(f""{i}: {fruit}"")
```

## While Loops

```python
count = 0
while count < 5:
    print(count)
    count += 1
```

## List Comprehensions

```python
# Traditional
squares = []
for x in range(10):
    squares.append(x ** 2)

# Comprehension (Pythonic)
squares = [x ** 2 for x in range(10)]

# With filter
evens = [x for x in range(20) if x % 2 == 0]
```

> **Style tip**: Use comprehensions for simple transformations, regular loops for complex logic.
",[],[],3,false,"{""prompt_kind"":""formative-question"",""expected_behavior"":""Ask one grounded learner question and withhold its answer."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-005-en-explanation,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:005,Functions,"{""question"":""Explain the main idea of 'Functions' clearly and at an age-appropriate level."",""lesson_title"":""Functions"",""lesson_content"":""# Functions\n\n## Defining Functions\n\n```python\ndef greet(name):\n    return f\""Hello, {name}!\""\n\nprint(greet(\""Alice\""))  # Hello, Alice!\n```\n\n## Default Arguments\n\n```python\ndef greet(name, greeting=\""Hello\""):\n    return f\""{greeting}, {name}!\""\n\ngreet(\""Bob\"")              # Hello, Bob!\ngreet(\""Bob\"", \""Hi there\"")  # Hi there, Bob!\n```\n\n## *args and **kwargs\n\n```python\ndef flexible(*args, **kwargs):\n    print(f\""Args: {args}\"")\n    print(f\""Kwargs: {kwargs}\"")\n\nflexible(1, 2, 3, name=\""Alice\"", age=30)\n# Args: (1, 2, 3)\n# Kwargs: {'name': 'Alice', 'age': 30}\n```\n\n## Lambda Functions\n\n```python\nsquare = lambda x: x ** 2\nprint(square(5))  # 25\n\n# Often used with sorted, map, filter\nnames = [\""Charlie\"", \""Alice\"", \""Bob\""]\nsorted(names, key=lambda n: len(n))  # ['Bob', 'Alice', 'Charlie']\n```\n\n## Type Hints (Python 3.9+)\n\n```python\ndef add(a: int, b: int) -> int:\n    return a + b\n```\n\nType hints are optional and not enforced at runtime, but they help with readability and IDE support.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Functions

## Defining Functions

```python
def greet(name):
    return f""Hello, {name}!""

print(greet(""Alice""))  # Hello, Alice!
```

## Default Arguments

```python
def greet(name, greeting=""Hello""):
    return f""{greeting}, {name}!""

greet(""Bob"")              # Hello, Bob!
greet(""Bob"", ""Hi there"")  # Hi there, Bob!
```

## *args and **kwargs

```python
def flexible(*args, **kwargs):
    print(f""Args: {args}"")
    print(f""Kwargs: {kwargs}"")

flexible(1, 2, 3, name=""Alice"", age=30)
# Args: (1, 2, 3)
# Kwargs: {'name': 'Alice', 'age': 30}
```

## Lambda Functions

```python
square = lambda x: x ** 2
print(square(5))  # 25

# Often used with sorted, map, filter
names = [""Charlie"", ""Alice"", ""Bob""]
sorted(names, key=lambda n: len(n))  # ['Bob', 'Alice', 'Charlie']
```

## Type Hints (Python 3.9+)

```python
def add(a: int, b: int) -> int:
    return a + b
```

Type hints are optional and not enforced at runtime, but they help with readability and IDE support.
",[],[],3,false,"{""prompt_kind"":""explanation"",""expected_behavior"":""Accurately explain the lesson's central idea without unsupported claims."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
tutor-python-fundamentals-005-en-formative-question,student-tutor,student_tutor,student,probabilistic,semantic_judge,en,python-fundamentals,python-fundamentals:005,Functions,"{""question"":""Ask me one short check-for-understanding question about 'Functions', but do not reveal the answer yet."",""lesson_title"":""Functions"",""lesson_content"":""# Functions\n\n## Defining Functions\n\n```python\ndef greet(name):\n    return f\""Hello, {name}!\""\n\nprint(greet(\""Alice\""))  # Hello, Alice!\n```\n\n## Default Arguments\n\n```python\ndef greet(name, greeting=\""Hello\""):\n    return f\""{greeting}, {name}!\""\n\ngreet(\""Bob\"")              # Hello, Bob!\ngreet(\""Bob\"", \""Hi there\"")  # Hi there, Bob!\n```\n\n## *args and **kwargs\n\n```python\ndef flexible(*args, **kwargs):\n    print(f\""Args: {args}\"")\n    print(f\""Kwargs: {kwargs}\"")\n\nflexible(1, 2, 3, name=\""Alice\"", age=30)\n# Args: (1, 2, 3)\n# Kwargs: {'name': 'Alice', 'age': 30}\n```\n\n## Lambda Functions\n\n```python\nsquare = lambda x: x ** 2\nprint(square(5))  # 25\n\n# Often used with sorted, map, filter\nnames = [\""Charlie\"", \""Alice\"", \""Bob\""]\nsorted(names, key=lambda n: len(n))  # ['Bob', 'Alice', 'Charlie']\n```\n\n## Type Hints (Python 3.9+)\n\n```python\ndef add(a: int, b: int) -> int:\n    return a + b\n```\n\nType hints are optional and not enforced at runtime, but they help with readability and IDE support.\n"",""curriculum_context"":{""program_code"":""python-fundamentals"",""canonical_language"":""en"",""outcome_codes"":[],""excluded_scope"":[]}}","# Functions

## Defining Functions

```python
def greet(name):
    return f""Hello, {name}!""

print(greet(""Alice""))  # Hello, Alice!
```

## Default Arguments

```python
def greet(name, greeting=""Hello""):
    return f""{greeting}, {name}!""

greet(""Bob"")              # Hello, Bob!
greet(""Bob"", ""Hi there"")  # Hi there, Bob!
```

## *args and **kwargs

```python
def flexible(*args, **kwargs):
    print(f""Args: {args}"")
    print(f""Kwargs: {kwargs}"")

flexible(1, 2, 3, name=""Alice"", age=30)
# Args: (1, 2, 3)
# Kwargs: {'name': 'Alice', 'age': 30}
```

## Lambda Functions

```python
square = lambda x: x ** 2
print(square(5))  # 25

# Often used with sorted, map, filter
names = [""Charlie"", ""Alice"", ""Bob""]
sorted(names, key=lambda n: len(n))  # ['Bob', 'Alice', 'Charlie']
```

## Type Hints (Python 3.9+)

```python
def add(a: int, b: int) -> int:
    return a + b
```

Type hints are optional and not enforced at runtime, but they help with readability and IDE support.
",[],[],3,false,"{""prompt_kind"":""formative-question"",""expected_behavior"":""Ask one grounded learner question and withhold its answer."",""module"":""Core Concepts"",""catalogue_source"":""demo""}"
